timestamp,sgv
2026-03-23 07:22:56.744,149
2026-03-23 07:27:56.744,143
2026-03-23 07:32:56.744,145
2026-03-23 07:37:56.744,142
2026-03-23 07:42:56.744,137
2026-03-23 07:47:56.744,131
2026-03-23 07:52:56.744,128
2026-03-23 07:57:56.744,131
2026-03-23 08:02:56.744,139
2026-03-23 08:07:57.003,149
2026-03-23 08:12:56.838,141
2026-03-23 08:17:56.766,142
2026-03-23 08:22:56.813,150
2026-03-23 08:27:57.477,155
2026-03-23 08:32:56.776,146
2026-03-23 08:37:57.334,146
2026-03-23 08:42:56.964,147
2026-03-23 08:47:57.549,146
2026-03-23 08:52:56.677,143
2026-03-23 08:57:56.884,138
2026-03-23 09:02:56.897,136
2026-03-23 09:07:57.445,130
2026-03-23 09:12:57.625,133
2026-03-23 09:17:57.411,133
2026-03-23 09:22:57.411,134
2026-03-23 09:27:56.718,134
2026-03-23 09:32:56.718,138
2026-03-23 09:37:56.718,146
2026-03-23 09:42:56.718,146
2026-03-23 09:47:56.719,144
2026-03-23 09:52:57.597,146
2026-03-23 09:57:57.174,145
2026-03-23 10:02:57.174,146
2026-03-23 10:07:56.923,148
2026-03-23 10:12:56.799,150
2026-03-23 10:17:56.934,150
2026-03-23 10:22:56.751,152
2026-03-23 10:27:57.230,156
2026-03-23 10:32:57.231,161
2026-03-23 10:37:57.231,162
2026-03-23 10:42:57.422,164
2026-03-23 10:47:57.422,168
2026-03-23 10:52:57.204,169
2026-03-23 10:57:57.205,169
2026-03-23 11:02:57.160,167
2026-03-23 11:07:57.413,172
2026-03-23 11:12:57.074,183
2026-03-23 11:17:57.074,193
2026-03-23 11:22:56.833,196
2026-03-23 11:27:56.833,198
2026-03-23 11:32:57.385,203
2026-03-23 11:37:57.385,207
2026-03-23 11:42:57.385,202
2026-03-23 11:47:57.385,208
2026-03-23 11:52:57.540,215
2026-03-23 11:57:57.338,215
2026-03-23 12:02:57.338,210
2026-03-23 12:07:56.832,207
2026-03-23 12:12:56.832,212
2026-03-23 12:17:56.832,199
2026-03-23 12:22:56.832,200
2026-03-23 12:27:57.419,204
2026-03-23 12:32:56.769,197
2026-03-23 12:37:56.881,192
2026-03-23 12:42:57.430,188
2026-03-23 12:47:57.430,183
2026-03-23 12:52:57.430,186
2026-03-23 12:57:57.395,178
2026-03-23 13:02:56.835,177
2026-03-23 13:07:57.349,176
2026-03-23 13:12:57.560,173
2026-03-23 13:17:57.706,180
2026-03-23 13:22:57.027,177
2026-03-23 13:27:57.382,172
2026-03-23 13:32:57.382,176
2026-03-23 13:37:57.649,184
2026-03-23 13:42:57.344,188
2026-03-23 13:47:57.344,188
2026-03-23 13:52:56.977,192
2026-03-23 13:57:57.151,199
2026-03-23 14:02:57.212,192
2026-03-23 14:07:56.910,199
2026-03-23 14:12:57.234,210
