lag_minutes,pearson_hr_bg
-60,0.08382004641961062
-55,0.022802973035699
-50,-0.03249772665387236
-45,-0.07148784761827129
-40,-0.09956243804769971
-35,-0.1278110228619632
-30,-0.170964147396813
-25,-0.21877361138339993
-20,-0.26140659167393987
-15,-0.2984469643247775
-10,-0.32552473238534857
-5,-0.3360693775674947
0,-0.3199330894653726
5,-0.29629532994353985
10,-0.2754834390837286
15,-0.2554124584335876
20,-0.2351274638401864
25,-0.21626734734256356
30,-0.18430916658753707
35,-0.16115462271062297
40,-0.15318037208882074
45,-0.13210064612505107
50,-0.08488910967282105
55,-0.047966731958436155
60,-0.03995633634056497
